Date,Close,Volume,Open,High,Low
04/04/2019,$395.86,9353815,$385.99,$397.06,$385.10
04/03/2019,$384.74,7142180,$389.68,$391.5386,$384.07
04/02/2019,$390.75,6387191,$388.50,$394.8299,$388.50
04/01/2019,$391.54,7664944,$385.80,$392.90,$383.10
03/29/2019,$381.42,7601981,$376.52,$382.18,$374.74
03/28/2019,$374.44,4694369,$376.60,$376.66,$372.33
03/27/2019,$374.21,9584062,$371.89,$376.66,$365.55
03/26/2019,$370.38,6389226,$375.58,$375.60,$367.60
03/25/2019,$370.46,7929773,$365.00,$371.21,$362.89
03/22/2019,$362.17,10114430,$368.79,$369.86,$361.525
03/21/2019,$372.70,6769802,$374.04,$377.00,$372.23
03/20/2019,$376.16,8708531,$374.70,$380.80,$373.68
03/19/2019,$373.43,9562268,$371.14,$378.77,$371.01
03/18/2019,$372.28,12936200,$370.00,$373.07,$367.20
03/15/2019,$378.99,26667600,$370.88,$385.71,$366.45
03/14/2019,$373.30,13463440,$374.99,$380.39,$372.10
03/13/2019,$377.14,32346260,$378.43,$381.77,$363.33
03/12/2019,$375.41,36876030,$384.705,$390.00,$368.00
03/11/2019,$400.01,34693990,$371.27,$402.67,$365.55
03/08/2019,$422.54,3792444,$416.77,$423.4262,$415.50
03/07/2019,$422.56,4890237,$423.36,$427.70,$416.44
03/06/2019,$424.46,4155960,$429.70,$432.00,$422.08
03/05/2019,$430.12,2793681,$431.04,$433.85,$428.6435
03/04/2019,$432.69,5964211,$443.22,$444.50,$426.63
03/01/2019,$440.62,5026579,$446.01,$446.01,$440.19
02/28/2019,$439.96,5047437,$438.70,$441.42,$437.08
02/27/2019,$435.44,4596769,$427.17,$436.33,$427.15
02/26/2019,$426.77,2501946,$426.00,$429.00,$424.25
02/25/2019,$426.87,3271944,$427.49,$429.92,$426.52
02/22/2019,$424.05,3131021,$419.70,$424.47,$419.14
02/21/2019,$417.58,2852142,$421.58,$422.4088,$415.6766
02/20/2019,$421.55,3986787,$417.14,$421.84,$417.11
02/19/2019,$416.26,3049091,$415.50,$417.94,$414.54
02/15/2019,$417.97,4010186,$412.48,$418.05,$411.43
02/14/2019,$409.82,2722991,$408.93,$412.22,$407.80
02/13/2019,$410.58,3076999,$412.52,$412.72,$407.67
02/12/2019,$410.72,3260355,$407.00,$411.21,$405.395
02/11/2019,$403.95,3044502,$408.10,$409.83,$402.69
02/08/2019,$404.91,4568627,$400.00,$404.96,$397.80
02/07/2019,$405.17,5199193,$407.93,$410.35,$402.29
02/06/2019,$411.11,5352849,$411.51,$413.88,$405.66
02/05/2019,$410.18,7219815,$400.75,$410.75,$399.55
02/04/2019,$397.00,4245082,$388.97,$397.07,$388.12
02/01/2019,$387.43,5370880,$386.11,$392.80,$384.7263
01/31/2019,$385.62,6870250,$387.16,$388.985,$382.08
01/30/2019,$387.72,12685760,$387.40,$391.969,$380.50
01/29/2019,$364.91,3188020,$363.07,$367.78,$362.41
01/28/2019,$362.97,3125283,$360.65,$363.165,$357.50
01/25/2019,$364.20,3185289,$362.49,$366.94,$360.33
01/24/2019,$358.27,2800739,$358.91,$363.18,$356.90
01/23/2019,$358.61,2923731,$361.91,$362.1995,$353.67
01/22/2019,$357.90,4333433,$362.86,$364.195,$354.23
01/18/2019,$364.73,4255247,$363.88,$367.3156,$361.32
01/17/2019,$359.09,4257940,$350.75,$363.83,$350.73
01/16/2019,$352.06,2722590,$352.50,$355.00,$351.56
01/15/2019,$352.24,2937425,$352.00,$353.315,$347.98
01/14/2019,$350.36,2467951,$348.20,$352.81,$347.01
01/11/2019,$352.90,3153714,$348.56,$354.36,$348.09
01/10/2019,$352.61,5350503,$346.51,$353.4662,$343.00
01/09/2019,$343.83,4203403,$342.96,$347.20,$340.8669
01/08/2019,$340.53,4728585,$334.11,$341.25,$332.65
01/07/2019,$328.11,3945977,$330.52,$330.69,$323.35
01/04/2019,$327.08,4436810,$316.69,$328.44,$316.08
01/03/2019,$310.90,5573882,$319.49,$319.74,$309.40
01/02/2019,$323.81,3248934,$316.19,$323.95,$313.71
12/31/2018,$322.50,3551601,$320.50,$323.64,$318.75
